ID,REVIEWS_AVG,REVIEWS_TOTAL,SALESRANK
3509,4.5,826.0,6402.0
3540,4.0,120.0,16906.0
3570,4.0,319.0,1918.0
3572,3.5,375.0,394341.0
3737,4.5,106.0,555120.0
3770,4.5,136.0,1949.0
3812,4.5,134.0,440.0
3828,4.0,232.0,3466.0
3857,3.5,709.0,104583.0
3901,4.5,108.0,6438.0
3986,4.5,106.0,4904.0
4005,3.0,326.0,6735.0
4017,4.0,227.0,4807.0
4022,4.0,105.0,11457.0
4023,4.0,227.0,657.0
4025,3.5,166.0,9066.0
4026,4.0,660.0,5351.0
4027,3.0,175.0,8583.0
4028,4.0,173.0,7155.0
4029,3.0,175.0,10089.0
4034,4.0,660.0,16564.0
4089,5.0,114.0,7695.0
4104,4.0,206.0,136390.0
4151,4.0,276.0,98405.0
4184,4.5,214.0,9023.0
4252,5.0,157.0,34426.0
4261,4.5,105.0,9105.0
4284,4.5,682.0,18575.0
4304,4.5,515.0,3279.0
4385,4.0,174.0,132250.0
4390,3.5,210.0,2028767.0
4504,4.0,109.0,6155.0
4557,4.5,118.0,668333.0
4558,3.5,171.0,152907.0
4574,4.0,415.0,10162.0
4624,4.0,104.0,264418.0
4644,4.5,114.0,972695.0
4666,4.5,117.0,499620.0
4727,4.0,406.0,1113061.0
4738,5.0,4921.0,868892.0
4742,4.0,303.0,3273.0
4785,3.0,104.0,21123.0
4840,4.0,168.0,13959.0
4921,4.5,117.0,644554.0
4945,4.0,160.0,2738.0
5043,4.0,125.0,170211.0
5069,4.5,633.0,8360.0
5099,4.5,562.0,246006.0
5171,4.5,418.0,6732.0
5203,3.5,303.0,394632.0
5237,3.5,153.0,266553.0
5325,4.5,177.0,1053.0
5334,4.5,130.0,17473.0
5358,5.0,114.0,2912.0
5374,4.5,167.0,2074.0
5392,4.5,406.0,3560.0
5443,5.0,211.0,452209.0
5653,4.5,113.0,3549.0
5740,4.0,156.0,28800.0
5777,4.5,137.0,989.0
5785,3.5,698.0,482329.0
5807,3.5,155.0,8396.0
5894,4.5,338.0,27686.0
5915,5.0,179.0,16140.0
6014,4.0,275.0,411822.0
6016,4.0,210.0,1971.0
6129,4.5,5539.0,2135.0
6268,4.0,101.0,34888.0
6296,4.0,133.0,26550.0
6317,4.0,257.0,1981.0
6369,3.0,631.0,3319.0
6416,3.5,415.0,1082996.0
6448,3.5,102.0,18500.0
6454,3.5,133.0,761302.0
6460,4.0,105.0,9692.0
6579,4.5,284.0,79253.0
6613,4.5,156.0,76800.0
6625,5.0,208.0,224018.0
6630,3.5,334.0,15030.0
6652,4.5,256.0,5867.0
6677,3.0,116.0,99555.0
6687,4.5,681.0,91427.0
6691,4.5,258.0,271408.0
6708,4.0,124.0,4030.0
6738,3.5,561.0,15129.0
6745,3.5,130.0,527507.0
6753,4.0,134.0,2050.0
6756,3.0,105.0,1595.0
6758,3.0,105.0,9710.0
6759,3.5,144.0,4359.0
6760,3.5,144.0,3882.0
6761,4.0,159.0,3613.0
6762,4.0,159.0,11119.0
6763,4.5,216.0,6471.0
6812,4.5,417.0,1182.0
6814,4.5,417.0,3755.0
6869,4.5,119.0,1827.0
6930,4.5,822.0,250245.0
6940,4.0,345.0,187510.0
6946,4.5,128.0,36755.0
7005,4.5,251.0,7089.0
7028,4.0,142.0,939208.0
7140,4.5,134.0,51981.0
7353,3.0,373.0,545333.0
7405,5.0,360.0,17833.0
7493,4.0,402.0,136982.0
7534,3.5,129.0,22591.0
7547,4.0,482.0,23625.0
7552,4.5,217.0,7045.0
7605,4.5,194.0,411572.0
7628,4.5,382.0,766.0
7639,4.0,133.0,6306.0
7651,3.5,166.0,83655.0
7701,4.5,110.0,3925.0
7722,4.5,108.0,6866.0
7737,4.0,112.0,9688.0
7749,4.0,151.0,28940.0
7753,4.5,240.0,92481.0
7759,4.0,118.0,7278.0
7785,4.5,323.0,4925.0
7792,4.5,323.0,12515.0
7823,4.5,232.0,298753.0
7911,4.5,189.0,8644.0
8005,5.0,540.0,689567.0
8015,4.0,583.0,24029.0
8132,4.5,180.0,910326.0
8135,4.0,211.0,61559.0
8204,4.0,134.0,1284.0
8215,4.5,450.0,2287.0
8249,4.5,105.0,53669.0
8320,4.5,149.0,13674.0
8333,4.0,104.0,5851.0
8480,4.0,161.0,413420.0
8503,4.0,107.0,4468.0
8532,4.5,104.0,4997.0
8546,4.5,106.0,2986.0
8596,4.0,285.0,357859.0
8597,4.0,285.0,2039.0
8651,4.0,116.0,3287.0
8670,4.5,178.0,17234.0
8700,4.5,194.0,657898.0
8702,5.0,170.0,4320.0
8704,4.5,140.0,725.0
8763,4.0,155.0,93981.0
8898,4.5,219.0,7590.0
8902,4.0,381.0,197779.0
8930,4.5,178.0,3292.0
8937,4.5,188.0,10187.0
8970,4.0,176.0,108661.0
8974,4.0,303.0,369.0
9131,4.5,131.0,20929.0
9145,3.5,150.0,34883.0
9209,3.5,125.0,19904.0
9356,4.0,111.0,136300.0
9389,5.0,146.0,2589.0
9528,4.0,461.0,21970.0
9533,4.0,134.0,9678.0
9570,4.0,461.0,17932.0
9576,3.0,406.0,10126.0
9604,4.5,177.0,636328.0
9618,4.5,139.0,710.0
9666,4.5,141.0,39311.0
9680,4.0,133.0,21680.0
9715,4.5,223.0,529812.0
9727,4.0,111.0,22717.0
9728,3.5,335.0,168137.0
9754,4.0,461.0,15588.0
9760,4.0,275.0,4803.0
9780,5.0,113.0,12128.0
9810,4.0,104.0,102340.0
9851,4.0,187.0,2206.0
9878,5.0,258.0,636118.0
9892,4.5,107.0,6100.0
10024,4.5,252.0,4371.0
10085,4.5,266.0,41723.0
10176,4.5,126.0,142459.0
10197,4.5,406.0,29211.0
10226,4.0,390.0,342723.0
10251,4.5,636.0,358137.0
10491,4.0,119.0,3096.0
10601,4.0,170.0,1775.0
10623,4.5,126.0,1353.0
10660,3.5,182.0,16257.0
10711,4.0,416.0,218173.0
10721,3.5,152.0,18307.0
10747,4.5,120.0,104753.0
10853,4.5,454.0,871911.0
10953,4.5,121.0,3909.0
11017,4.5,180.0,814611.0
11193,4.5,303.0,1597362.0
11248,4.0,167.0,98509.0
11249,4.0,129.0,22531.0
11252,4.0,129.0,163860.0
11399,4.0,335.0,13097.0
11410,4.0,223.0,143453.0
11430,4.0,103.0,7261.0
11442,4.0,263.0,16708.0
11486,4.0,317.0,450315.0
11521,4.5,129.0,66695.0
11636,4.5,211.0,9274.0
11637,4.0,586.0,38.0
11639,4.0,121.0,135267.0
11670,4.5,177.0,66018.0
11749,4.5,145.0,41350.0
11831,4.0,179.0,27057.0
11914,4.0,161.0,14853.0
11957,3.5,153.0,168908.0
11959,3.5,485.0,12371.0
12073,4.0,369.0,1351.0
12151,2.0,160.0,22090.0
12168,4.5,212.0,419459.0
12204,4.5,266.0,1865.0
12217,4.0,102.0,24625.0
12230,4.5,513.0,231136.0
12388,3.5,125.0,384.0
12404,4.5,136.0,34240.0
12419,5.0,115.0,221589.0
12440,5.0,225.0,796.0
12456,3.0,216.0,20232.0
12571,3.0,133.0,320368.0
12574,4.5,630.0,112981.0
12605,4.0,142.0,1323459.0
12639,4.5,145.0,950776.0
12644,4.5,185.0,2828.0
12660,3.5,273.0,165552.0
12694,4.5,537.0,855.0
12928,4.0,113.0,355969.0
12984,4.0,188.0,4615.0
12995,4.5,146.0,4631.0
13006,4.5,181.0,54585.0
13007,3.0,208.0,2579.0
13043,4.0,1452.0,754552.0
13117,4.5,337.0,227237.0
13181,4.5,188.0,347372.0
13224,4.5,338.0,205665.0
13312,3.5,105.0,604380.0
13322,3.5,485.0,489.0
13341,4.0,381.0,26566.0
13388,4.5,626.0,12846.0
13397,4.0,408.0,2115.0
13399,4.5,108.0,1364659.0
13415,4.5,196.0,29199.0
13522,4.0,108.0,21328.0
13551,3.5,607.0,119015.0
13562,4.5,107.0,11193.0
13588,4.5,122.0,958927.0
13621,4.5,269.0,2798.0
13643,4.5,122.0,2070.0
13733,4.5,179.0,597.0
13753,4.0,124.0,147738.0
13766,4.0,124.0,350860.0
13816,4.5,138.0,148.0
13910,4.5,182.0,918.0
13932,4.5,215.0,94549.0
13933,3.5,419.0,96467.0
13985,4.5,150.0,43678.0
14011,4.5,116.0,1487.0
14032,4.5,275.0,293761.0
14089,4.5,454.0,272310.0
14102,4.5,123.0,136602.0
14112,4.5,169.0,28453.0
14179,3.5,297.0,11112.0
14326,5.0,218.0,511080.0
14349,4.5,128.0,35592.0
14366,4.0,253.0,499547.0
14371,5.0,129.0,117730.0
14516,3.0,245.0,109530.0
14522,3.5,485.0,606588.0
14543,4.5,544.0,181215.0
14568,3.0,162.0,331099.0
14697,4.5,111.0,1942257.0
14738,4.0,277.0,12800.0
14742,3.0,191.0,264454.0
14860,4.5,452.0,75.0
14886,4.5,276.0,504837.0
15078,4.0,102.0,115332.0
15177,4.5,108.0,2205.0
15181,4.0,114.0,35472.0
15211,4.5,124.0,927999.0
15355,4.5,633.0,713.0
15366,4.5,198.0,108118.0
15392,3.5,359.0,159213.0
15396,3.0,116.0,3294.0
15401,3.0,141.0,6674.0
15488,4.5,170.0,20671.0
15531,4.5,194.0,257.0
15581,4.0,253.0,2256.0
15669,4.5,482.0,23221.0
15748,3.0,154.0,169089.0
15801,4.0,101.0,50975.0
15809,4.0,491.0,469629.0
15833,4.5,153.0,6452.0
15840,4.0,124.0,607722.0
15864,4.5,132.0,11259.0
15918,3.5,1066.0,124720.0
16002,4.0,137.0,1083711.0
16004,3.0,127.0,10531.0
16097,4.0,219.0,18671.0
16120,3.0,154.0,598037.0
16127,5.0,116.0,111677.0
16165,3.5,104.0,81048.0
16173,5.0,237.0,7935.0
16175,4.5,110.0,120655.0
16252,4.5,135.0,127198.0
16272,4.0,303.0,36884.0
16342,4.0,116.0,5830.0
16366,4.0,335.0,40179.0
16474,4.0,115.0,18787.0
16481,4.0,345.0,1015787.0
16565,4.5,146.0,504192.0
16588,4.5,503.0,214609.0
16612,4.5,134.0,154486.0
16633,4.5,111.0,20841.0
16647,4.5,610.0,3049.0
16648,4.5,266.0,5173.0
16768,4.5,212.0,331531.0
16769,3.5,363.0,8739.0
16791,4.0,128.0,471856.0
16845,5.0,124.0,784305.0
16921,4.0,147.0,772363.0
16944,4.0,194.0,2501.0
16953,4.5,106.0,909364.0
16962,4.0,118.0,43052.0
16975,3.5,135.0,428979.0
16995,3.5,119.0,142236.0
17136,4.5,108.0,16428.0
17218,4.0,271.0,96660.0
17282,4.5,233.0,265069.0
17350,4.5,231.0,3890.0
17352,4.0,225.0,2923.0
17360,4.0,419.0,538.0
17366,4.0,299.0,7914.0
17381,2.5,122.0,96285.0
17400,4.0,611.0,1906.0
17506,4.5,311.0,438392.0
17582,4.5,156.0,3624.0
17666,4.0,251.0,437171.0
17682,4.0,322.0,6396.0
17694,4.5,133.0,1585.0
17697,4.5,133.0,354427.0
17700,4.0,328.0,447671.0
17722,4.0,126.0,5117.0
17776,3.5,280.0,29051.0
17967,3.5,273.0,2430.0
18004,4.5,133.0,73119.0
18058,4.5,141.0,279190.0
18144,4.0,287.0,1055.0
18172,4.5,355.0,239.0
18186,4.0,217.0,175508.0
18207,4.5,484.0,15805.0
18211,4.0,597.0,1739.0
18236,3.5,359.0,2762.0
18245,4.5,292.0,5942.0
18246,3.5,148.0,14541.0
18252,4.5,165.0,467.0
18262,4.5,106.0,1324.0
18452,4.0,117.0,101245.0
18462,4.5,266.0,2687722.0
18470,3.0,332.0,23079.0
18549,5.0,109.0,591033.0
18624,4.5,219.0,9260.0
18644,5.0,109.0,75415.0
18661,4.5,172.0,79573.0
18663,4.0,347.0,206424.0
18665,4.5,121.0,7790.0
18703,4.5,114.0,447887.0
18736,4.0,130.0,9013.0
18798,4.5,121.0,188867.0
18813,4.5,115.0,175547.0
18823,4.5,387.0,1379.0
18824,3.5,147.0,36521.0
18832,3.5,210.0,6218.0
18858,4.5,504.0,135693.0
18872,4.0,119.0,263083.0
18908,3.0,259.0,17910.0
18987,4.0,406.0,89165.0
18998,3.0,535.0,2942.0
19021,4.5,992.0,163047.0
19076,4.5,101.0,11377.0
19103,3.5,101.0,275594.0
19106,4.0,252.0,1202.0
19156,4.5,178.0,75462.0
19216,4.5,249.0,8248.0
19247,4.5,155.0,89276.0
19251,4.0,212.0,3570.0
19259,4.5,144.0,1588.0
19272,4.5,125.0,669921.0
19279,3.5,1169.0,18967.0
19291,5.0,465.0,20438.0
19339,4.5,102.0,1228.0
19366,4.0,449.0,228515.0
19386,3.5,613.0,45500.0
19534,4.0,339.0,4661.0
19601,4.5,109.0,6849.0
19701,4.5,101.0,2846.0
19746,4.0,191.0,65025.0
19852,3.5,202.0,4093.0
19853,4.0,206.0,5778.0
19937,4.5,106.0,248723.0
19979,4.0,253.0,931065.0
20070,4.0,139.0,3227.0
20134,3.5,456.0,603.0
20151,4.5,406.0,38165.0
20152,4.5,407.0,20553.0
20154,4.5,407.0,24735.0
20156,4.5,406.0,24895.0
20173,4.5,354.0,21651.0
20177,3.0,134.0,923.0
20178,3.0,134.0,8685.0
20188,4.0,251.0,24250.0
20370,4.5,213.0,75502.0
20385,4.0,433.0,876.0
20422,4.5,337.0,52599.0
20553,4.5,113.0,66770.0
20574,5.0,417.0,682693.0
20621,4.5,219.0,32780.0
20628,4.0,420.0,227728.0
20636,4.5,370.0,51435.0
20661,5.0,609.0,80.0
20673,4.0,228.0,1069112.0
20705,4.5,109.0,41183.0
20715,5.0,283.0,1550.0
20751,4.0,272.0,6243.0
20769,4.0,163.0,12686.0
20771,4.0,408.0,13925.0
20848,3.5,200.0,532881.0
20876,4.5,113.0,12270.0
20943,4.0,162.0,44469.0
20968,4.5,465.0,632.0
20970,4.5,465.0,27511.0
20975,3.0,157.0,13037.0
21045,3.5,236.0,341945.0
21079,4.5,384.0,5878.0
21163,5.0,386.0,108351.0
21208,4.0,196.0,1674.0
21215,4.0,251.0,13150.0
21279,4.0,1030.0,106530.0
21354,5.0,147.0,31870.0
21355,4.5,110.0,3847.0
21429,4.5,670.0,42106.0
21493,4.0,131.0,4961.0
21529,4.5,133.0,2884.0
21561,3.5,273.0,1005098.0
21563,3.5,419.0,13723.0
21646,4.0,195.0,4645.0
21715,4.5,187.0,17350.0
21734,4.5,417.0,832012.0
21861,4.0,105.0,280814.0
21915,4.5,165.0,852530.0
21940,4.5,346.0,231.0
22007,4.0,583.0,491926.0
22078,3.5,177.0,149784.0
22128,3.5,139.0,27479.0
22156,4.5,218.0,477715.0
22273,4.0,101.0,2880.0
22310,4.5,337.0,221388.0
22321,4.5,157.0,504872.0
22342,4.5,169.0,33616.0
22351,3.0,334.0,218500.0
22391,4.5,316.0,657021.0
22566,4.0,136.0,1714.0
22596,3.5,120.0,706948.0
22603,3.0,758.0,9123.0
22626,4.5,1185.0,420585.0
22631,4.0,564.0,470.0
22633,4.5,306.0,2478.0
22683,3.5,419.0,35396.0
22686,4.0,153.0,131616.0
22783,3.5,103.0,274737.0
22820,4.0,241.0,338832.0
22848,4.0,290.0,17464.0
22850,4.0,290.0,31437.0
22855,4.0,290.0,9871.0
22880,4.0,147.0,624297.0
22890,4.0,299.0,252817.0
22989,4.5,134.0,6857.0
23041,3.5,326.0,10827.0
23080,3.5,273.0,1184235.0
23087,4.0,197.0,282995.0
23152,4.0,144.0,444.0
23196,4.5,142.0,2091.0
23311,4.0,500.0,2399.0
23340,4.0,414.0,326.0
23343,3.0,248.0,5769.0
23348,3.5,167.0,4678.0
23351,3.5,155.0,966.0
23359,3.5,619.0,2627.0
23379,4.5,237.0,697288.0
23394,4.0,158.0,6917.0
23464,4.0,102.0,151471.0
23500,4.5,584.0,2217.0
23527,3.5,866.0,112247.0
23791,5.0,5034.0,685119.0
23954,4.5,214.0,126294.0
23996,4.5,108.0,5286.0
24089,4.0,239.0,240405.0
24179,4.0,275.0,13407.0
24186,4.5,188.0,1666.0
24220,5.0,104.0,179.0
24243,4.5,164.0,56398.0
24298,4.0,830.0,490984.0
24321,4.5,109.0,307278.0
24325,4.0,369.0,37969.0
24329,4.5,378.0,506031.0
24332,3.5,272.0,3596.0
24401,4.5,110.0,348550.0
24436,4.5,231.0,33746.0
24449,4.0,195.0,6476.0
24450,4.5,332.0,75519.0
24459,3.5,361.0,9050.0
24463,4.5,249.0,4029.0
24661,4.5,1695.0,228214.0
24841,3.0,2776.0,116609.0
24845,4.0,223.0,521164.0
24863,4.0,1244.0,28525.0
24966,4.5,138.0,5782.0
24968,4.5,123.0,1436346.0
25163,4.0,350.0,6340.0
25207,3.0,114.0,19560.0
25309,4.5,417.0,1010218.0
25343,4.5,275.0,3706.0
25451,3.5,102.0,200871.0
25454,2.5,157.0,95376.0
25476,4.5,158.0,545212.0
25490,3.0,176.0,19873.0
25495,4.0,226.0,940.0
25496,4.0,226.0,23119.0
25500,4.0,290.0,5250.0
25541,4.0,447.0,1780.0
25548,4.5,136.0,135322.0
25613,4.0,126.0,678.0
25626,4.5,115.0,3856.0
25627,4.5,115.0,410748.0
25629,4.5,115.0,145133.0
25664,4.0,467.0,20592.0
25667,4.5,142.0,342824.0
25680,3.5,105.0,258973.0
25710,4.0,161.0,20061.0
25720,4.0,457.0,43677.0
25748,3.5,153.0,1112015.0
25900,3.5,168.0,135279.0
25903,4.5,342.0,531624.0
25976,4.0,996.0,2121.0
26122,4.0,105.0,17408.0
26148,4.0,196.0,409192.0
26150,4.0,324.0,414009.0
26309,4.5,381.0,17997.0
26362,4.0,394.0,204773.0
26398,3.5,174.0,9721.0
26427,4.0,126.0,36521.0
26442,3.5,248.0,119463.0
26520,4.0,125.0,47729.0
26536,4.5,293.0,200407.0
26539,4.0,182.0,1064.0
26635,4.5,236.0,12340.0
26735,4.5,221.0,164848.0
26956,4.5,102.0,25612.0
27318,5.0,140.0,777.0
27322,4.0,101.0,405063.0
27462,4.5,251.0,109048.0
27489,4.5,325.0,362105.0
27491,4.5,325.0,4014.0
27501,3.0,145.0,61932.0
27544,4.0,109.0,46695.0
27551,4.0,931.0,427.0
27557,3.5,810.0,54101.0
27611,4.0,1293.0,1567.0
27630,3.5,168.0,28030.0
27650,4.0,131.0,163994.0
27706,4.0,105.0,226561.0
27779,4.0,129.0,1279286.0
27800,1.5,146.0,387846.0
27823,4.5,103.0,25223.0
27828,4.5,131.0,5368.0
27852,4.0,115.0,11965.0
27882,4.0,118.0,26210.0
27885,4.5,221.0,2537.0
27896,4.5,174.0,524296.0
27939,4.5,220.0,508.0
27948,4.5,148.0,332948.0
27953,4.0,112.0,18436.0
27980,4.0,116.0,428506.0
28002,4.5,219.0,185660.0
28036,4.0,167.0,5290.0
28052,4.5,130.0,33354.0
28092,4.5,143.0,123305.0
28122,4.5,215.0,859.0
28151,3.0,612.0,92006.0
28165,3.0,165.0,367106.0
28210,4.0,583.0,405.0
28325,5.0,102.0,45081.0
28348,4.0,388.0,922864.0
28357,4.0,188.0,1179238.0
28393,4.0,230.0,61371.0
28530,4.5,151.0,22506.0
28555,4.5,126.0,10596.0
28569,4.5,112.0,3518.0
28590,4.0,115.0,27863.0
28649,4.0,115.0,28957.0
28731,4.0,389.0,743869.0
28765,4.5,123.0,101366.0
28789,4.5,191.0,560.0
28792,3.5,168.0,569.0
28793,4.5,443.0,139.0
28801,4.5,114.0,14962.0
28803,4.5,129.0,389.0
28861,4.0,113.0,2170.0
28900,3.5,115.0,9448.0
28971,4.5,309.0,3359.0
28997,3.5,326.0,70049.0
29000,3.0,121.0,15327.0
29001,3.5,197.0,26748.0
29064,4.5,332.0,430.0
29073,4.5,966.0,593228.0
29075,4.5,125.0,30517.0
29138,3.5,775.0,152085.0
29152,4.0,141.0,474209.0
29245,4.5,551.0,133065.0
29252,4.5,1015.0,65326.0
29253,4.0,353.0,143942.0
29401,4.5,342.0,1970.0
29410,4.0,1090.0,11900.0
29424,4.5,376.0,6615.0
29433,4.0,371.0,238727.0
29439,4.5,104.0,12354.0
29503,4.5,134.0,14770.0
29542,4.0,1069.0,81.0
29549,5.0,360.0,38329.0
29575,4.5,1185.0,1262088.0
29596,3.5,102.0,582702.0
29661,4.5,373.0,637.0
29694,4.5,517.0,32114.0
29736,4.0,271.0,180923.0
29834,2.5,290.0,298641.0
29848,4.5,376.0,1853.0
29950,5.0,112.0,21979.0
29966,5.0,114.0,21725.0
29973,5.0,115.0,398.0
29975,4.5,246.0,394976.0
30008,4.5,102.0,4933.0
30053,4.5,124.0,5734.0
30133,4.5,404.0,1580.0
30146,3.5,189.0,38344.0
30208,4.0,141.0,624681.0
30226,4.5,124.0,612012.0
30259,3.0,250.0,4493.0
30263,4.5,1513.0,770.0
30285,4.5,246.0,731634.0
30358,4.0,174.0,1690.0
30428,4.0,1285.0,37007.0
30613,4.5,106.0,229964.0
30622,4.0,105.0,1885.0
30651,4.5,258.0,1468.0
30831,3.5,290.0,19363.0
30918,4.0,419.0,301798.0
30993,4.5,464.0,804.0
31032,4.5,242.0,8140.0
31136,3.5,989.0,1301.0
31142,3.5,677.0,412921.0
31144,3.5,114.0,110265.0
31158,4.5,105.0,2951.0
31167,3.5,235.0,485260.0
31221,4.5,139.0,17970.0
31247,4.0,624.0,394888.0
31259,4.5,225.0,333.0
31269,4.0,406.0,2267129.0
31346,4.5,214.0,134197.0
31388,3.5,225.0,3427.0
31426,4.5,127.0,34451.0
31431,4.5,177.0,31905.0
31494,4.5,219.0,699710.0
31498,3.5,161.0,97178.0
31734,3.5,110.0,18439.0
31785,4.5,113.0,2749.0
31911,3.5,1355.0,14006.0
32021,4.5,237.0,14915.0
32066,4.0,144.0,5696.0
32097,3.5,359.0,39532.0
32109,4.0,263.0,183800.0
32131,4.5,718.0,1215.0
32161,4.5,159.0,4903.0
32289,4.5,194.0,20919.0
32304,4.5,500.0,1271.0
32365,4.5,246.0,292123.0
32369,4.5,383.0,8585.0
32400,4.0,2072.0,353272.0
32470,4.5,148.0,541526.0
32477,4.0,122.0,331612.0
32525,3.0,116.0,809381.0
32661,4.0,188.0,244097.0
32676,3.0,248.0,176516.0
32824,3.5,132.0,6180.0
32847,4.5,343.0,4606.0
32852,4.5,115.0,32080.0
32861,4.5,312.0,375.0
32867,4.5,212.0,1083.0
32868,4.0,112.0,21249.0
32935,4.0,227.0,143033.0
32958,4.5,219.0,500384.0
32966,4.5,295.0,30266.0
33025,4.5,782.0,106027.0
33046,4.5,231.0,80245.0
33096,3.0,133.0,332844.0
33112,4.0,141.0,258995.0
33183,3.5,130.0,3979.0
33186,4.0,129.0,1393.0
33191,4.0,129.0,7353.0
33192,4.0,200.0,7342.0
33229,4.5,101.0,6238.0
33246,4.5,209.0,295.0
33288,4.5,223.0,104923.0
33378,3.5,1421.0,30352.0
33381,4.0,244.0,21900.0
33447,4.5,123.0,14103.0
33566,4.5,174.0,19320.0
33647,4.5,384.0,401223.0
33672,4.0,123.0,1650.0
33684,4.5,204.0,100923.0
33725,4.5,180.0,583.0
33763,3.5,171.0,8824.0
33765,4.5,114.0,755347.0
33774,4.0,267.0,941.0
33827,4.5,252.0,4336.0
33888,4.0,104.0,416787.0
33951,4.0,162.0,212426.0
33984,4.5,636.0,20707.0
34030,4.5,137.0,242318.0
34143,4.5,1414.0,549398.0
34175,4.5,1004.0,1179.0
34181,4.5,1002.0,206419.0
34201,4.0,120.0,1784.0
34256,3.0,101.0,272932.0
34261,4.0,251.0,40710.0
34290,3.0,153.0,25731.0
34293,3.5,226.0,20638.0
34335,4.0,434.0,222791.0
34376,4.5,133.0,1074.0
34663,4.5,109.0,15294.0
34770,4.0,102.0,750.0
34805,4.0,129.0,40778.0
34833,4.5,404.0,8721.0
34889,4.0,150.0,321928.0
34980,4.5,177.0,4441.0
35062,5.0,2396.0,5158.0
35076,4.5,149.0,46548.0
35144,4.0,498.0,1078780.0
35179,4.5,109.0,827.0
35284,4.5,178.0,10061.0
35299,4.5,246.0,42933.0
35323,3.5,115.0,11255.0
35336,4.5,107.0,445394.0
35363,4.5,180.0,758063.0
35415,4.0,157.0,14167.0
35511,4.0,1101.0,143.0
35544,2.5,201.0,3534.0
35618,4.0,730.0,6277.0
35622,3.5,117.0,68718.0
35740,4.0,406.0,369422.0
35758,4.5,148.0,1312827.0
35770,4.0,600.0,4832.0
35870,3.5,104.0,24904.0
35882,4.0,145.0,496425.0
35920,4.5,249.0,251766.0
35930,3.5,232.0,163368.0
35959,4.5,101.0,548889.0
35962,4.5,512.0,5330.0
36023,4.5,180.0,678373.0
36026,3.5,514.0,12267.0
36079,4.0,429.0,4841.0
36081,5.0,270.0,178325.0
36171,3.5,107.0,1035.0
36181,4.0,117.0,41182.0
36199,5.0,132.0,458765.0
36291,4.0,973.0,82996.0
36349,4.0,123.0,5001.0
36375,4.0,484.0,3256.0
36427,3.5,111.0,4512.0
36470,3.5,837.0,10142.0
36515,4.5,243.0,227440.0
36638,4.0,162.0,237012.0
36711,4.5,162.0,264257.0
36725,4.0,134.0,4459.0
36733,5.0,178.0,28947.0
36761,4.0,299.0,179454.0
